x,y,x_vel,y_vel
-0.6833140399661243,-0.0672104959477105,-1.8501509638348774,-0.18198170747753006
-0.6925652530431903,-0.06812044998279991,-1.8502426154131917,-0.18199080701788095
-0.7018169241975633,-0.06903044951786606,-1.8503342308745876,-0.18199990701323163
-0.7110690533037418,-0.06994049455518409,-1.8504258212357139,-0.1820090074636048
-0.7203216402949243,-0.0708505850970292,-1.850517398236503,-0.18201810836902324
-0.7295746851650622,-0.07176072114567675,-1.8506089740275815,-0.18202720972950973
-0.7388281879693048,-0.07267090270340218,-1.8507005608485214,-0.18203631154508698
-0.7480821488228321,-0.07358112977248107,-1.8507921707054455,-0.18204541381577777
-0.7573365678981144,-0.0744914023551891,-1.8508838150564693,-0.18205451654160484
-0.7665914454206805,-0.07540172045380206,-1.8509755045132104,-0.18206361972259097
-0.7758467816635112,-0.07631208407059585,-1.8510672485661346,-0.1820727233587589
-0.7851025769402153,-0.07722249320784651,-1.8511590553408355,-0.1820818274501314
-0.7943588315971728,-0.07813294786783016,-1.8512509313914955,-0.18209093199673124
-0.8036155460048566,-0.07904344805282307,-1.851342881536767,-0.18210003699858116
-0.8128727205485674,-0.0799539937651016,-1.8514349087421633,-0.18210914245570395
-0.8220055666089036,-0.0808645850069422,-1.8265692120672254,-0.18211824836812235
-0.8307743884956617,-0.0817752217806215,-1.7537643773516174,-0.18212735473585914
-0.8389503322004527,-0.08268590408841618,-1.6351887409582049,-0.1821364615589371
-0.846321351107477,-0.08359663193260308,-1.474203781404863,-0.18214556883737895
-0.8526976979822481,-0.08450740531545912,-1.275269374954243,-0.1821546765712075
-0.8579168011985129,-0.08541822423926135,-1.0438206432529489,-0.18216378476044554
-0.8618474001161784,-0.08632908870628693,-0.7861197835331193,-0.1821728934051158
-0.8643928346785567,-0.08723999871881313,-0.5090869124756509,-0.18218200250524105
-0.8654934071077398,-0.08815095427911736,-0.22011448583663346,-0.1821911120608441
-0.8651277584292827,-0.0890619553894771,0.07312973569142894,-0.1822002220719477
-0.8633132287856529,-0.08997300205216997,0.3629059287259745,-0.18220933253857463
-0.8601051997165321,-0.0908840942694737,0.6416058138241487,-0.18221844346074767
-0.8555954314974904,-0.09179523204366616,0.9019536438083484,-0.1822275548384896
-0.849909459454533,-0.09270641537702527,1.1371944085914816,-0.1822366666718232
